SUBJECT	MON	YEAR	PAGE	LOCATION	TYPE	MEMO
Australian Baptist congress	7	1908	297			
Australian Baptist Congress	8	1908	331			
Sneyd, Rev J.B	9	1908	352		obit	
Smith, Mr W.R. - QBA President	10	1908	359		article and photo	
Saunders, Mr Edwin	10	1908	370	Ipswich	obit	
Australian Baptist Congress	11	1908	378			further material 381ff and photos
Kreuger, Rev Otto	11	1908	391	Blenheim		
Rice, Rev G.M. - impressions	12	1908	405	City Tab	article and photo	
Ministers Fraternal	1	1909	423		photo	
Rice, Rev G.M. - farewell	1	1909	423	City Tab	article and photo	
Thomas, Mrs Catherine	1	1909	429	Nundah	obit	
Heinrich, Rev John - welcome	1	1909	431	Blenheim	article and photo	
Biggs, Mr Thos. snr	2	1909	438	Wharf St	obit	
Collins, Mrs T. /Mrs Irvine	3	1909	464	Nundah	obit	
Marshall, Mrs G.W.	3	1909	464	City Tab	obit	
German Baptist Conference	5	1909	498			
Chapman-Alexander mission	7	1909	543			
Elliott, Rev Howard - farewell	7	1909	635	Clayfield		
Australasian Baptist Historical Society	8	1909	553			
Ipswich Baptist Church - jubilee	8	1909	555	Ipswich		
Chapman-Alexander Mission	8	1909	556			
Makin, Mrs	8	1909	560	City Tab	obit	mother of Rev E. Makin of Qld
Orthner, Mrs Martha	8	1909	560	Blenheim	obit	
Mursell, Rev James - welcome	8	1909	561	City Tab		
Sneyd, Mrs W.H.	9	1909	581	Jireh	obit	sister in law of Rev J.B. Sneyd
Walton, Rev J.E. president BAQ	10	1909	590		photo	
Home Mission - stations	10	1909	593		articles	feature on each HM station with photos
Perry, Mrs J.G.	12	1909	622	City Tab	obit	
Ross, Mr Alexander	12	1909	622	City Tab	obit	
Gympie - SS hall opening	12	1909	629	Gympie	article and photo	
Price, Septimus	1	1910	7		obit brief	
Verney, Mr R.C.	1	1910	7	Albion	obit	
Johnston, Mrs James	2	1910	29	Bulimba	obit	
Walton, Rev J.E. - farewell	2	1910	32	Jireh		
Grimes, Mr George	3	1910	44	Vulture St	obit	
Higlett, Rev William - farewell	3	1910	47	Albion		
Johnston, Mrs	4	1910	63	Bulimba	letter	correction to info by Joshua Jenyns
Malyon, Rev T.J. - anniversary	4	1910	64	Ipswich		
Masters, Rev P.J.- removal	5	1910	76	Maryborough		
Kingsford, Mr R.A.	5	1910	79	Townsville et al	obit	son of J. Kingsford
Macpherson, Rev John	5	1910	79		obit and photo	
Smith, Mr W.R. - resignation SS superintendent	5	1910	79	City Tab		
Plested, Miss M. - welcome	6	1910	87			
Jarvis, Rev A.C.	7	1910	110	Jireh		
Woolley, Mr Thomas	8	1910	124	Ipswich	obit	
Mount Morgan	9	1910	139	Mount Morgan		
Zahl, Carl	10	1910	163	Marburg	obit	
Coorparoo Baptist Church	11	1910	177	Coorparoo	photo	
Plested, Miss M. - valedictory	12	1910	196			
Malyon, Rev T.J. - address	1	1911	6		address	
Malyon, Rev T.J. - address (conc)	2	1911	22		address	
Bell, Rev W.M. - welcome	3	1911	36	Vulture St		
Australian Baptist Congress - 2nd	3	1911	41			
German Baptist Conference	4	1911	54			
Evans, Capt. John	4	1911	58	Maryborough	obit	
Australian Baptist Congress - 2nd	5	1911	72			
Anderson, Mr C.	5	1911	74	Charters Towers	obit	
Anderson, Mr George	5	1911	74	Charters Towers	obit	
Bradshaw, Willie	5	1911	74	Petrie Terrace	obit	
Edwards, Miss Ruth	5	1911	74	Charters Towers	obit	
Manby, Mrs	5	1911	74	Charters Towers	obit	
Smith, Mr W.	5	1911	74	Charters Towers	obit	
Petrie Terrace - 41st anniversary	8	1911	116	Petrie Terrace		
Grimes, Mrs James	9	1911	137	Jireh	obit	daughter of J. Kingsford
Hooker, Ebenezer	9	1911	137		obit	
Barnett, Rev E. - President BAQ	10	1911	147		article and photo	
Malyon, Rev T.J - address	10	1911	155		address	
Davis, Mr William	10	1911	160	Rockhampton	obit	
Weller, Rev A.G. - welcome	11	1911	168	Toowoomba		
Petrie Terrace	11	1911	172	Petrie Terrace		
Richer, Rev. Wm - presentation	12	1911	183	Toowong		
Rees, Mrs T. /Mrs James Rodgers	12	1911	184	Ipswich	obit	
Warwick Baptist Church - established	12	1911	184	Warwick		
Warwick Baptist Church - established	12	1911	189	Warwick		
Windolf, Rev Hermann	12	1911	189		article and photo	
Nerimbera Baptist Mission Hall	12	1911	193	Nerimbera (Rockhampton)	article and photo	
Malyon, Rev T.J	1	1912	6		address	
Windolf, Rev Hermann	2	1912	4		list of books	
Home Mission Churches	3	1912	36		articles and photos	feature on HM churches and ministers
Jones, Mr J.E.	3	1912	45	Vulture St, City Tab	obit	
Malyon, Rev T.J.	5	1912	68		address	
German Baptist Conference	5	1912	69			
Malyon, Rev T.J.	6	1912	84		address (conc)	
Hurford, Mr G.W.	6	1912	89	Toowoomba	obit	
Muller, Mrs A.	7	1912	107	Redland Bay	obit	
Rockhampton Baptist Church - jubilee	8	1912	115	Rockhampton		
Dobbs, Samuel	8	1912	116	Rockhampton	Communion table in honour	
Jeffcoat, Mr W.B.	8	1912	119	Ipswich, Vulture St	obit	
Jeffcoat, William Banks	8	1912	119	Ipswich, South Brisbane	obit	
Jireh Baptist Church - Jubilee	9	1912	135	Jireh		
Franklin, George	9	1912	136	Toowong	obit	
Richards, Mr Charles	9	1912	136	Townsville	obit	
Paddington Cemetery - resumption	9	1912	138			
Warwick Baptist Church	10	1912	153	Warwick	photo	
Barnett, Rev E.	11	1912	168		address	
Wondai Baptist Church - opening	11	1912	174	Wondai	article and photos	photo of church and people
Butterfield, Mrs S.	11	1912	175	Toowong	obit	
Ings, Rev and Mrs J. - farewell	11	1912	176			some earlier references to his visit
Barton, Mr E.J.T. - welcome home	12	1912	183	City Tab		
Rockhampton - Port Curtis Rd	1	1913	10	Rockhampton		
Wynnum Baptist Church - new church	1	1913	10	Wynnum		
Silkstone Baptist Church - opening	1	1913	11	Silkstone		
Hope, Miss	2	1913	24	Toowoomba	article and photo	missionary candidate
Australian Baptist Federal Convention	3	1913	37			
Mursell, Rev James - overseas visit	3	1913	39	City Tab		
Queensland Baptist College	4	1913	51			
Poole, Rev Wm	4	1913	56	Vulture St	obit	
James, Mrs William	4	1913	57	Toowoomba	obit	
Poole, Rev Wm	5	1913	67	Vulture St	tribute	
Weller, Rev A.G. - resignation	6	1913	84	Toowoomba		
Hughes, Mrs Albert	7	1913	106	Toowong	obit	
Perry, Mrs Sarah A.	7	1913	106	Petrie Terrace	obit	
Gregory, Mrs E.	7	1913	107	City Tab	obit	
Hastings, J.W.	7	1913	107	Ipswich	obit	
Lovelock-Muller wedding	9	1913	132	Redland Bay		
Poole, Rev Wm - tablet	9	1913	135	Vulture St		
Churchill - BC - building	9	1913	141	Churchill		
Wheeler, Henry	9	1913	141	Albion	obit	
Mursell, Rev James and Mrs - President BAQ	10	1913	149		photos	
Phipps, Mr and Mrs A.J. - golden wedding	10	1913	159	South Brisbane		
Mursell, Rev. James - welcome home	12	1913	171	City Tab		
Gregory, Mr Edmund	12	1913	187		obit	
QB - Qld Baptist	1	1923	1		editorial - plans for new publication	
QB - Qld Baptist	1	1923	3		editorial policies	page 12 - editor Rev W. Bell
Statistics	1	1923	6		analyssis of statistics bu	W.G. Pope
King's Business Campaign	1	1923	7		report and review by Rev. B. Hewison	also page 17
Sunday schools	1	1923	9		analysis by Rev A.G. Weller	
Christian Endeavour	1	1923	11		review and report by Rev. J.H. Latimer	
Qld Baptist Foreign Missions	1	1923	12			by W.H. Wingfield, Sec.
Home Missions	1	1923	13			by Rev. T.U. Symonds
South Brisbane Vulture St BC	1	1923	16		Jubilee - review	
Townsville BC	1	1923	16		building opened - and review	
Townsville BC	1	1923	16		review of history at opening of new	church
Kings Business campaign	1	1923	17		report	
Plested, Miss Martha	1	1923	18		tribute	appeal - page 5
Baptist Union of Australia	1	1923	20		review of interstate Board matters	by Rev. R. Sayce
Prohibition	1	1923	21		report	
Grimes, Mr Arthur	2	1923	4		gifts in will to Qld Baptists	
Weeknight service	2	1923	5		article on reviving weeknight service	
Baptist Colonial Society	2	1923	8		report of visitor from UK on work in Qld	
Sandgate convention	2	1923	13			
Prohibition notes	2	1923	18		information from Rev R. Sayce	
Meyer, Rev F.B.	3	1923	3		to visit Australia	and page 8
Mursell, Rev. James	3	1923	3		visits Australia	and page 8
Qld Baptist College	3	1923	4		feature by W. Bell	
Macfarlane, Mr George A.	3	1923	13	City Tabernacle	obit	
Communion	3	1923	16		Rosalie BC decides to use the	individual communion cup
Perry, Mr and Mrs	3	1923	16	Petrie Terrace	memorial plagues erected	Mrs Perry died 1913  Mr Perry died 1922 - obit
McAllister, Mrs	3	1923	18		obit	
Weeknight Service	3	1923	18		letter of response from A. Durrant	
Healing ministry	4	1923	3		visit of Mr Hickson - editorial comment	
Healing mission	4	1923	3		notice of healing mission of Mr Hickson	
Qld Baptist College	4	1923	3		report	
Barnett, Rev. E.	4	1923	4		devotional article - first of series	
Qld Baptist College	4	1923	4		student to attend combined classes	with other theological colleges
Baptist Association of Qld	4	1923	6		Half yearly assembly	
Nundah church	4	1923	7	Nundah	new church	
Sunday schools	4	1923	11		training notes	
Langtree, Mrs	4	1923	17	Jireh, Gayndah	obit	
Minden BC	4	1923	17		visit by president - description of	travel
Murgon BC	4	1923	20		visit by HM secretary	
Qld Baptist College	4	1923	22		syllabus - see May 1923 p 15 corrections	
Anzac Day	5	1923	3		report of services	
King's Business Campaign	5	1923	5		report	
Meyer, Rev F.B.	5	1923	7		cancellation of visit	
Qld Baptist life - some impressions	5	1923	8			by Rev J.C. Martin ABFM
Sayce, Rev. R. - President	5	1923	10		travel notes - Ipswich, Maryborough	Bundaberg, Rockhampton, Toowoomba
Statistics - growth	5	1923	12		letter on successful churches growth	
Nundah BC	5	1923	18		stump capping ceremony	
Prohibition	5	1923	19		notes	
Malyon, Capt T. E.	6	1923	3		report on health - son of T.J. Malyon	
Healing ministry	6	1923	4		report of Mr J.M. Hickson visit	
King's Business Campaign	6	1923	6		report	
Australian Baptist	6	1923	7		Rev. B. Hewison, Qld editor for AB	
Statistics - growth	6	1923	7		letter of response from J. C. Keith	
Home Mission HM	6	1923	8		reports of churches Redland Bay	nambour, Wamuran Woodford, Maleny Warwick
Kings Business Campaign#	6	1923	8		report	
McIntyre, Robert L.	6	1923	9		notice for book on his work in China	formerly of Windsor Road BC
Iliffe-Pope	6	1923	13	City Tab	wedding	
Qld Baptist life - some impressions	6	1923	14			
Cole, Mrs J.H.	6	1923	16	City Tabernacle	80th birthday	formerly of Brighton Vic
Gympie BC	6	1923	18		church building at Cootharaba Hill	presented by Mrs De Freyne
Ascension day	6	1923	19		celebrated by German Baptists	at Blenheim
Healing mission	6	1923	22		impressions by G.A. Craike	on Hickson healing mission
City Tabernacle BC	7	1923	4		fete	
Baptism	7	1923	5		letter	
Baptism	7	1923	5		editorial: are Baptists true to their	creed?
Plested, Miss Martha	7	1923	8		memorial - letter from Rev R. Sayce	
Richer, Mr and Mrs A.H.	7	1923	8		letter from abroad on travels	
Richer, Mr and Mrs A.H.	7	1923	8		letter on travels	
Iliffe-Pope	7	1923	11	City Tab	wedding - sermon	
Meyer, Rev F.B.	7	1923	13		Feature and mission in Brisbane	see also p 3,4,12  photo page 14
Baptist Interstate Board	7	1923	14		business	
Clayfield BC	7	1923	16		report including healing mission	
Hickson Healing misson	7	1923	16		reports from Clayfield, Gympie	see also page 4
Nundah BC	7	1923	18		opening plans	
Nundah BC	8	1923	3		church opened	
Meyer, Rev. F.B.	8	1923	4		report of visit	
Jireh	8	1923	14	Jireh	anniversary	
Prohibition	8	1923	15		news	
Spurgeon, Rev. C.H.	8	1923	20		feature on recent biography	
Coombs, Rev. H.C.	9	1923	3	City Tabernacle	obit	
Dart, Ray	9	1923	4	Taringa	academic appointment in South Africa	
Prohibition - poll	9	1923	4		open letter by Rev. B. Hewison	see also page 3
Music	9	1923	10		City Tabernacle choir visits churches	(program at Clayfield - July 1923 p 24
Interstate board	9	1923	11		report	
Nundah	9	1923	14	Nundah	new church report	
Hodgkinson - Wylie	9	1923	17	Maryborough	marriage of Olive Ann Wylie to	Melville John Hodgkinson
Richer, Mr A.H.	9	1923	20		letter on travels	
Bickmore, A.E.	10	1923	1		photo	President BAQ
Baptist Association of Qld	10	1923	3		Assembly report	
Sayce, Rev. R. - President	10	1923	5		retiring presidential address	
Baptist Union of Qld	10	1923	6		report on condition of churches - lack	of progress - also page 8 letters from churches
German Baptist Churches	10	1923	7		report at Assembly - now affiliated	with Baptist Union of Qld
Plested, Miss Martha	10	1923	15	Toowong cemetery	memorial	
Richer, Mr A.H.	10	1923	16		letter on BWA congress	
Home Mission	11	1923	1		photo of horseman - pastor?	
Baptist World Congress	11	1923	3		report by Rev J. Worboys	and By Rev. A.H. Potter
Protestantism	11	1923	6		feature and comment on Protestantism	versus RC
Kings Business campaign	11	1923	8		report	
Qld Baptist Women's Union	11	1923	11		digest of reports	
Whittle, Rev. H.W.	11	1923	13		welcomed to Qld - Townsville BC	
Costello, Mrs Alex	11	1923	14	City Tab Sth Bris Charters T.	obit	
Aratula BC Kalbar BC	11	1923	16		new church building	
Aratula Kalbar BC	11	1923	16		opening of church at Aratula	
Fleming-Miller	11	1923	16		marriage D. Fleming and	Annie Miller
Smith-Young	11	1923	19		marriage K. Smith and H. Young	
Clifford, Dr John	12	1923	1		obit photo and feature page 3 by W. Bell	
Jones, Rev Parry - farewell	12	1923	6	Townsville		
Townsville BC	12	1923	6		welcome to Rev H. Whittle and	farewell Rev P. Jones
Whittle, Rev H.W. - welcome	12	1923	6	Townsville		
Maryborugh BC	12	1923	7		farewell Rev. R. Stowards	
Stowards, Rev R. - farewell	12	1923	7	Maryborough		
Bulcock, Mrs Emily Hemans	12	1923	11	City Tabernacle	review of book of verse	
Young, Mr Thomas	12	1923	17	Silkstone	obit	
Young, Mr Thomas Snr	12	1923	17	Silkstone Dinmore	obit	
Munro, Mrs	12	1923	18	South Brisbane Vulture St	obit	
Sunday Schools	12	1923	18		view of worldwide Baptist Sunday Schools	by Carey Bonner
Prohibition	12	1923	21		defeated at the poll	
Barnett, E.E.	1	1924	1		photo	
Prison chaplaincy	1	1924	4		report	
Barnett, E.E.	1	1924	5		obit	
New year's Day conventioin	1	1924	7		report	
Hall, William	1	1924	13	South Brisbane	Wedding Jubilee	
Sunday schools	1	1924	14		world view by Carey Bonner	
Clayfield BC	1	1924	15		renovation of church building	
Young, Mr Thomas	1	1924	15	Dinmore	obit	
Reekie, Rev W.G.	1	1924	18	Silkstone	personal details	
Mursell, Rev. and Mrs James	1	1924	20		visiting Brisbane	
Nundah BC	1	1924	21		souvenir available	
Mursell, Rev. and Mrs James	2	1924	1		photo	
Clifford, Rev John	2	1924	5		obit	
Brisbane Church Federation	2	1924	7		follow up to F.B. Meyer campaign	
Meyer, Rev. F.B.	2	1924	7		letter from Brisbane Church Federation	on Go to Church campaign followup to Meyer visit
Reekie, Rev W.G.	2	1924	7		letter of thanks for support after fire	
Christian Endeavour	2	1924	10		43rd anniversary report with	Rev. J. Mursell as speaker
Baptist Union of Qld	2	1924	14		dinner to farewell J. Mursell and raise	funds for College etc - Shilling fund
Shilling fund	2	1924	14		report of 250,000 shilling fund for	denominationa support
Clayfield BC	2	1924	15		building renovation	
Silkstone BC	2	1924	18		manse destroyed by fire	
Bush, W.H. JP	3	1924	1		photo	
Evangelism	3	1924	3		editorial on personal evangelism	
Sunday School	3	1924	4		Central Queensland Baptist Sunday	School Union
Bell, Mrs Wm. nee Grimes	3	1924	5		obit	arrived on the Chaseley
Bush, Mr W.H.	3	1924	5		obit	and page 14
Woodford Wamuran BC	3	1924	8		report of church	
Reekie, Rev W.G.	3	1924	13	Silkstone	ordination	
Bush, W.H	3	1924	14	City Tabernacle	obit	
Queensland Baptist College	3	1924	18		syllabus	
Malyon, Capt T.E.	4	1924	11		obit	
Murgon BC	4	1924	12		report of church - opening building at	Cloyna
Murgon BC	4	1924	12		report for Home Mission	by Rev R.Y. McAllister
Sunday Schools	4	1924	13		observations by A. Richer	
Music	4	1924	15		concert program in aid of Foreign	Mission
Sneyd, Mrs J.B.	4	1924	16	City Tabernacle	80th birthday	
Wolter, Mr C.F.	4	1924	18	Kalbar	obit	
Newmarket BC	4	1924	19		memorial service for W.H. Bush obit	
Gympie	5	1924	3		Baptist Union of Qld Half-yearly	Assembly meetings
Baptist Association of Qld	5	1924	4		Half yearly meetings at Gympie	
King's Business Campaign	5	1924	7		report	
Sunday School	5	1924	8		teachers' conference at Newmarket	
Jackson, Mr	5	1924	14	Charters Towers	obit	
Reid, Mr Stephen	5	1924	16	Newmarket	obit	
Toowoomba BC	5	1924	17		Jubilee anniversary - history of church	
Till, Miss Eileen	5	1924	18	Townsville	obit	
Luton, Rev C.E. and car	6	1924	1		photo	
Baptist Association of Qld	6	1924	4		denominational goals	
Murgon BC	6	1924	8		anniversary - 4th	
Clayfield BC	6	1924	11		report on church renovation	architect - W.C. Voller
Dau, Mr W.	6	1924	13	Kalbar	obit	
Krueger, Mrs H.	6	1924	13	Kalbar	obit	daughter of C.F. Wolter
Krueger, Mrs J.	6	1924	13	Kalbar	obit	nee Wolter
Lanefield BC	6	1924	14		branch churches at Rosewood and	Lower Mt Walker
Lanefield Church - harvest festival	7	1924	1	Lanefield	photo	
Sunday observance	7	1924	3		editorial on changes to Council by-laws	united appeal by leaders
King's Business Campaign	7	1924	5		report	
Ipswich BC	7	1924	7		Sunday School anniversary - new approach	with Rev T. McColl
Clayfield BC	7	1924	15		36th anniversary including W.C. Voller	son of Rev. J. Voller
Wells-Ridgway	7	1924	15	Albion BC	wedding of Wilfred H. Wells to	Nellie Edith Ridgway
Clayfield BC	7	1924	16		36th anniversary - includes W.C. Voller	
Knopke, Mrs	7	1924	19	Sandgate	obit - memorial service	
Townsville church - new	8	1924	1	Townsville	photo	
Apostolic succession	8	1924	3		editorial	review of book by Bp. Charles Gore
Worboys, Rev. James	8	1924	4		addresses in Brisbane	
Worboys, Rev. James	8	1924	4		supplying at Toowoomba	see also page 22
Twonsville BC	8	1924	6		report by Rev. H.W. Whittle	visit by Rev. T. McColl
Martin, Mrs T.	8	1924	7	Nambour	obit	nee Winifred Brooks - related to A H Brooks etc
Miller, Mrs Wm	8	1924	7	Jireh	obit	wife of secretary of church
Sunday school	8	1924	8		conference of teachers	
Clifford, Rev John	8	1924	12		his conversion	
Petrie Terrace BC	8	1924	19		historical notes -old church used as	manse now reconstructed into a dwelling
Gray, Rev and Mrs E.G.	9	1924	4	Toowoomba, City Tab	welcome	
Worboys, Rev. James	9	1924	20		lecture at City Tabernacle	
Ministers at assembly	10	1924	1		photo	
Baptist Association of Qld	10	1924	3		reports of Assembly	
Home Mission	10	1924	3		Rev. T.U. Symonds concludes	Rev. B. Hewison appointed
Qld Baptist College	10	1924	3		generous gift	
Hewison, Rev. B.	10	1924	4		first message from new HM Superintendent	
Men's ministry	10	1924	6		address by Rev. G.A. Craike at Assembly	
Delegates at assembly	10	1924	11		photo	
Worboys, Rev James	10	1924	11		letter of thanks	
Prison chaplaincy	10	1924	13		report	
Ipswich church - manse	11	1924	1	Ipswich	photo	
Fundamentalism	11	1924	3		editorial comment on Bible & experience	
Ipswich church - manse	11	1924	4		opening	
Morcom, Mr and Mrs L.	11	1924	6		wedding - nee Margaret Anderson Pope	
Rockhampton BC	11	1924	15		60th anniversary - report and review	
Hall, Mr and Mrs William	11	1924	16	South Brisbane Vulture St	obits	
Richer, Rev. Wm	12	1924	1		photo	
Home Mission Sunday	12	1924	4		feature	
Richer, Rev Wm	12	1924	6		obit	
Rice, Rev. G.M.	12	1924	10		accepts call to St Mary's Gate	ex High Wycombe, chaplain, Sailors society
Pope-Morcom	12	1924	11		wedding	
Phillipofski, Mrs	12	1924	16	Gympie	obit	left gift for manse
Pritchard, Miss Ruth	12	1924	16	Clayfield	obit	
Pritchard, Miss Ruth	12	1924	16	Clayfield	obit	
Dobbs, Mrs John	12	1924	18	Rockhampton	obit	
Hewison, Rev B	1	1925	1		photo	HM supt. 1/1/25
Home Mission	1	1925	5		report on changeover of superintendents	from T.U. Symonds to B. Hewison
King's Business campaign	1	1925	5		annual convention at Sandgate	
Home Mission	1	1925	6		letter from H. Whittle on needs of state	
Central Qld Baptist Sunday School Union	1	1925	7		report	
Spence, Francis	1	1925	11	Hendra Clayfield	obit	and page 13
Brown, Mrs John	1	1925	12		obit	
Enoggera BC	1	1925	13		stormed wrecked Everton Park hall	relocated to Enoggera for Sunday School use
Warwick manse	1	1925	16	Warwick	photo	
Rockhampton - manse	2	1925	1	Rockhampton	photo	
City Tabernacle choir	2	1925	5	City Tab	photo	
Mursell, Rev James, ATS	2	1925	6	City Tab		
Home missions	2	1925	7		financial support	
Geebung BC	2	1925	8		stump capping service	
Bowen, Mr W.E.	2	1925	14	City Tab	obit	
Williams, Mrs	2	1925	15	Gympie	obit	
Suffolk-Pooling	2	1925	16	Rosalie	wedding of Miss L. Pooling and Mr A.	Suffolk
Suyny-Abbott	2	1925	16	Rosalie	wedding of Miss M. Abbott and Mr Suyny	
Queensland Baptist College	2	1925	18		syllabus	
Home Mission	3	1925	5		impressions of first visits	by Rev B. Hewison
Rockhampton Sunday School Union	3	1925	6		report	
Prayer	3	1925	14		letter calling for prayer from C. Luton	
Toowoomba Baptist Church	3	1925	14	Toowoomba	anniversary	
Bulgin-Goodman	3	1925	17	Lakes Creek	marriage of Rev E.G.Bulgin to	Miss Eva Goodman (daughter of Rev P. Goodman ??)
Geebung BC	4	1925	12		Home Mission report on Geebung BC	opening of church
Sunday School	4	1925	14		Teachers' conference at Windsor Road BC	
Kirwood-Trevena	4	1925	16	Clayfield	marriage of Kenneth Kirwood to Ella	Trevena (son of Rev. E. Kirwood)
Bush, Mr W.H.	4	1925	19		memorial service at Newmarket	he founded church and donated land
Baptist Lay Preachers Society	4	1925	22		notice of meetings	
Home mission methods	5	1925	5		letter on methods for outreach from	Canada
Bennet, Mrs P.	5	1925	8	Rockhampton	Obit	daughter of Mr and Mrs S. Dobbs - and page 18
Stephen, W.	5	1925	9		obit	
Baptist Association of Qld	5	1925	10		Half yearly meetings report	
Australian Baptist Congress - 4th	5	1925	12			
Hill, Rev. H.R.G.	5	1925	13		a pastor's holiday	
Pieper, W.	5	1925	18	Minden	obit	
Howard, Mr Edward Alfred	5	1925	22	Wondai	obit	
Gympie Baptist Church, baptistry, Rev C.E Luton	6	1925	1	Gympie	photo	
Home mission	6	1925	5		appeal for missionaries	
Johnston, Rev J.	6	1925	6			
Hewison, Rev. B.	6	1925	9		impressions of churches (cont)	including Dalveen - host: Mr Stephens
Qld Baptist College	7	1925	3		feature and report and appeal	
Congress - value	7	1925	4			by F.J. Wilkin
Hewison, Rev. B.	7	1925	5		report of northern travels	
Wheeler, Mrs Henry	7	1925	9	Wharf St, Albion	obit	
Silkstone Baptist Church	7	1925	11	Silkstone		
Wynnum Baptist Church - extensions	7	1925	11	Wynnum		
Bell, Rev W. and students - Baptist College	7	1925	12		photo	
Congress	8	1925	1		photo of Australian Baptist Congress	
Newmarket Boys and Girls Club	8	1925	1	Newmarket	photo	
Home Mission	8	1925	5		visit to north by Rev B. Hewison	cont. from July 1925
City Tabernacle BC	8	1925	12		opening of new concrete fence to replace	old paling fence, mayor plants palm tree
Glassop, Mr and Mrs Stephen	8	1925	12		55th wedding anniversary	
Dinmore BC	8	1925	14		gospel and healing meetings by Mr Hewitt	and Sister Vernon
Elliott, Mrs J.E.	8	1925	16	Jireh	obit	
Newmarket BC	8	1925	16		dedication of diaconate motto - workers	together with Him
Rosalie BC	8	1925	18		report on new church	
Aboriginal ministry	8	1925	20	Torquay	report of church building and services	
Australian Baptist Congress	9	1925	1		photo of delegates	
Congress	9	1925	3			
Congress	9	1925	6			
Elliott, Mrs J.E.	9	1925	16	Jireh	obit	sister to Mrs W. Hooker aunt of Mrs G.O.W. Smith
Thurkettle, Mr Geo	9	1925	16	Jireh	obit	
Petrie Terrace BC	9	1925	18		new manse and other buildings	
Heselwood, Mrs	9	1925	20	South Brisbane Vulture St	obit	
Kalbar Baptist Church	10	1925	1	Kalbar	photo	
Smith, Mr W.R. - President BAQ	10	1925	3		photo	
Smith, Mr William Ritchie	10	1925	4	City Tab	cameo	Pres 08, 25 treasurer BAQ
Kalbar Baptist Church	10	1925	7			
QB - Qld Baptist	10	1925	11		appeal from publisher for support	
Gympie BC	10	1925	13		new manse	
Ralph, Mr and Mrs H.S.	10	1925	13	Albion	wedding	nee Miss Myrtle White
Ralph-White/Cathcart	10	1925	13	Albion	wedding - Mrytle White to Harold Spencer	Ralph
Wondai BC	10	1925	16		outreach to Durong	
Geebung BC	11	1925	1	Geebung	photo	
Home mission - work and churches	11	1925	4		review of all areas of state	series of articles in special feature
Symonds, Rev T.U.	11	1925	4		photo and story	
Home Mission staff	11	1925	5		photo	
Tugun Baptist Church	11	1925	8		photo	
Smith, Gipsy Evangelistic Crusade	11	1925	16		visit to Brisbane planned	
Cronau, Melville	11	1925	19	Maryborough - Island Plant.	obit	
Rosalie Baptist Church	12	1925	1		photo	
Rosalie Baptist Church	12	1925	6			
Gympie BC	12	1925	14		church decides on incorporation using	many features of Spurgeon's church deed
Gympie BC	12	1925	14		decides to incorporate - takes many	features from C H Spurgeon's church trust deed
Lethem, Mrs F.	12	1925	14	City Tabernacle	80th birthday	
Bauer-Clark	12	1925	16	Maryborough	wedding - Irene Dorothy Bauer to Norman	Spence Clark
Sweet-Hayes	12	1925	18	Petrie Terrace	wedding - Gladys Sweet to A.J. Hayes	
Selvey, Mrs	12	1925	19	Rockhampton	obit	
QB - Qld Baptist	12	1925	23		appeal for support	
QB - Qld Baptist	1	1926	3		Rev E.A.Kirwood succeeds Rev W. Bell	as editor of Qld Baptist
Baptist Union of Qld	1	1926	5		Association or Union	
Marburg BC	1	1926	6		Jubilee celebration - photo page 1	
New Year	1	1926	7		New Year's Day convention	
Pope, Rev W.G.	1	1926	11		resignation from City Tabernacle BC	
Rosalie BC	1	1926	12		early history - photo of congregation	photo of Rev W. Moore
Knudsen, Mrs	1	1926	14	Jireh	obit	
Knott, Mrs	1	1926	18	Petrie Terrace BC	obit	
Griffiths, Mrs E.	1	1926	19	Charter Towers	obit	
Qld Baptist College	1	1926	23		syllabus for year	
Moon, Rev C.J.W.	2	1926	4		retirement from ministry	also page 13
Gypsy Smith	2	1926	6		evangelistic campaign report	
Toowong BC	2	1926	6		weclome to Rev S. Newell photo page 1	
Ensinger, Mr Ferdinand	2	1926	17	Lowood	obit	also page 8, 14
Malyon, Mrs	2	1926	17		obit	widow of Rev T.J. Malyon
Pope, Rev W.G.	3	1926	4		farewell	appreciation on page 6
Baptist Association of Qld	3	1926	5		Half yearly assembly - name change to	Union
Gordon Park BC	3	1926	8		church opening	
Doggett, Mrs Mark	3	1926	16	Jireh	obit	
Prideaux, Mrs A	3	1926	16		obit	
Prideaux, Mrs A.	4	1926	8		obit - appreciation	
Gordon Park BC	4	1926	12		report of opening of church	
Rudolph, Mrs	4	1926	15	Naryborough	obit	
Woolley, Mrs Jane	4	1926	21	Ipswich	obit	widow of MrT. Woolley
Pope, Rev W.G.	5	1926	6		official denominational farewell	
Gipsy Smith	5	1926	7		report of evangelistic campaign	
Coates, Mrs	5	1926	16	Newmarket	obit	
Clarkson, Mrs J.	5	1926	19	Nundah	obit - photo	
Irvine, Ronald Spence	5	1926	19	Clayfield	obit	
Holland	6	1926	1		representative of Baptist churches of	Holland under BWA - Rev J.W.Weenink page 6
Minister - stipend	6	1926	3		status and stipend of the minister	feature
Baptist Union of Australia	6	1926	5		report	
Gipsy Smith	6	1926	5		report	
Rutter, Mr and Mrs H.	6	1926	9	Coorparoo	Golden wedding	
Walton, Mabel	6	1926	16	Jireh	obit	
